,0
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster001,1
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster002,2
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster003,3
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster004,4
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster005,5
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster006,6
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster007,4
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster008,7
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster009,8
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster010,9
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster011,10
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster012,6
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster013,1
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster014,4
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster015,7
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster016,11
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster017,12
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster018,6
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster019,9
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster020,10
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster021,13
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster022,14
ncbi_tid|1001989|ref|NZ_CP006632.1_cluster023,15
ncbi_tid|1033813|ref|NC_017644.1_cluster001,1
ncbi_tid|1033813|ref|NC_017644.1_cluster002,2
ncbi_tid|1033813|ref|NC_017644.1_cluster003,3
ncbi_tid|1033813|ref|NC_017644.1_cluster004,4
ncbi_tid|1033813|ref|NC_017644.1_cluster005,5
ncbi_tid|1033813|ref|NC_017644.1_cluster006,16
ncbi_tid|1033813|ref|NC_017644.1_cluster007,6
ncbi_tid|1033813|ref|NC_017644.1_cluster008,5
ncbi_tid|1033813|ref|NC_017644.1_cluster009,8
ncbi_tid|1033813|ref|NC_017644.1_cluster010,17
ncbi_tid|1033813|ref|NC_017644.1_cluster011,9
ncbi_tid|1033813|ref|NC_017644.1_cluster012,10
ncbi_tid|1033813|ref|NC_017644.1_cluster013,6
ncbi_tid|1033813|ref|NC_017644.1_cluster014,8
ncbi_tid|1033813|ref|NC_017644.1_cluster015,7
ncbi_tid|1033813|ref|NC_017644.1_cluster016,11
ncbi_tid|1033813|ref|NC_017644.1_cluster017,12
ncbi_tid|1033813|ref|NC_017644.1_cluster018,9
ncbi_tid|1033813|ref|NC_017644.1_cluster019,10
ncbi_tid|1033813|ref|NC_017644.1_cluster020,13
ncbi_tid|1033813|ref|NC_017644.1_cluster021,15
ncbi_tid|1045010|ref|NZ_CP015831.1_cluster001,9
ncbi_tid|1045010|ref|NZ_CP015831.1_cluster002,6
ncbi_tid|1045010|ref|NZ_CP015831.1_cluster003,7
ncbi_tid|1045010|ref|NZ_CP015831.1_cluster004,8
ncbi_tid|1045010|ref|NZ_CP015831.1_cluster005,1
ncbi_tid|1045010|ref|NZ_CP015831.1_cluster006,6
ncbi_tid|1045010|ref|NZ_CP015831.1_cluster007,10
ncbi_tid|1045010|ref|NZ_CP015831.1_cluster008,9
ncbi_tid|1045010|ref|NZ_CP015831.1_cluster009,4
ncbi_tid|1045010|ref|NZ_CP015831.1_cluster010,6
ncbi_tid|1045010|ref|NZ_CP015831.1_cluster011,8
ncbi_tid|1045010|ref|NZ_CP015831.1_cluster012,5
ncbi_tid|1045010|ref|NZ_CP015831.1_cluster013,3
ncbi_tid|1045010|ref|NZ_CP015831.1_cluster014,2
ncbi_tid|1045010|ref|NZ_CP015831.1_cluster015,1
ncbi_tid|1045010|ref|NZ_CP015831.1_cluster016,13
ncbi_tid|1045010|ref|NZ_CP015831.1_cluster017,10
ncbi_tid|1045010|ref|NZ_CP015832.1_cluster001,9
ncbi_tid|1045010|ref|NZ_CP015832.1_cluster002,6
ncbi_tid|1045010|ref|NZ_CP015832.1_cluster003,7
ncbi_tid|1045010|ref|NZ_CP015832.1_cluster004,8
ncbi_tid|1045010|ref|NZ_CP015832.1_cluster005,1
ncbi_tid|1045010|ref|NZ_CP015832.1_cluster006,6
ncbi_tid|1045010|ref|NZ_CP015832.1_cluster007,10
ncbi_tid|1045010|ref|NZ_CP015832.1_cluster008,9
ncbi_tid|1045010|ref|NZ_CP015832.1_cluster009,4
ncbi_tid|1045010|ref|NZ_CP015832.1_cluster010,6
ncbi_tid|1045010|ref|NZ_CP015832.1_cluster011,8
ncbi_tid|1045010|ref|NZ_CP015832.1_cluster012,5
ncbi_tid|1045010|ref|NZ_CP015832.1_cluster013,3
ncbi_tid|1045010|ref|NZ_CP015832.1_cluster014,2
ncbi_tid|1045010|ref|NZ_CP015832.1_cluster015,1
ncbi_tid|1045010|ref|NZ_CP015832.1_cluster016,13
ncbi_tid|1045010|ref|NZ_CP015832.1_cluster017,10
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster001,11
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster002,7
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster003,8
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster004,4
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster005,1
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster006,6
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster007,10
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster008,9
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster009,17
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster010,8
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster011,7
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster012,4
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster013,6
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster014,18
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster015,5
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster016,3
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster017,2
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster018,1
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster019,13
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster020,17
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster021,15
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster022,13
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster023,10
ncbi_tid|1048254|ref|NZ_CP011331.1_cluster024,9
ncbi_tid|1048689|ref|NC_017656.1_cluster001,1
ncbi_tid|1048689|ref|NC_017656.1_cluster002,2
ncbi_tid|1048689|ref|NC_017656.1_cluster003,3
ncbi_tid|1048689|ref|NC_017656.1_cluster004,4
ncbi_tid|1048689|ref|NC_017656.1_cluster005,5
ncbi_tid|1048689|ref|NC_017656.1_cluster006,8
ncbi_tid|1048689|ref|NC_017656.1_cluster007,6
ncbi_tid|1048689|ref|NC_017656.1_cluster008,4
ncbi_tid|1048689|ref|NC_017656.1_cluster009,8
ncbi_tid|1048689|ref|NC_017656.1_cluster010,9
ncbi_tid|1048689|ref|NC_017656.1_cluster011,19
ncbi_tid|1048689|ref|NC_017656.1_cluster012,10
ncbi_tid|1048689|ref|NC_017656.1_cluster013,6
ncbi_tid|1048689|ref|NC_017656.1_cluster014,1
ncbi_tid|1048689|ref|NC_017656.1_cluster015,4
ncbi_tid|1048689|ref|NC_017656.1_cluster016,8
ncbi_tid|1048689|ref|NC_017656.1_cluster017,7
ncbi_tid|1048689|ref|NC_017656.1_cluster018,11
ncbi_tid|1048689|ref|NC_017656.1_cluster019,12
ncbi_tid|1048689|ref|NC_017656.1_cluster020,6
ncbi_tid|1048689|ref|NC_017656.1_cluster021,9
ncbi_tid|1048689|ref|NC_017656.1_cluster022,10
ncbi_tid|1072459|ref|NC_017646.1_cluster001,1
ncbi_tid|1072459|ref|NC_017646.1_cluster002,2
ncbi_tid|1072459|ref|NC_017646.1_cluster003,3
ncbi_tid|1072459|ref|NC_017646.1_cluster004,4
ncbi_tid|1072459|ref|NC_017646.1_cluster005,5
ncbi_tid|1072459|ref|NC_017646.1_cluster006,16
ncbi_tid|1072459|ref|NC_017646.1_cluster007,6
ncbi_tid|1072459|ref|NC_017646.1_cluster008,4
ncbi_tid|1072459|ref|NC_017646.1_cluster009,8
ncbi_tid|1072459|ref|NC_017646.1_cluster010,17
ncbi_tid|1072459|ref|NC_017646.1_cluster011,9
ncbi_tid|1072459|ref|NC_017646.1_cluster012,10
ncbi_tid|1072459|ref|NC_017646.1_cluster013,6
ncbi_tid|1072459|ref|NC_017646.1_cluster014,1
ncbi_tid|1072459|ref|NC_017646.1_cluster015,8
ncbi_tid|1072459|ref|NC_017646.1_cluster016,7
ncbi_tid|1072459|ref|NC_017646.1_cluster017,15
ncbi_tid|1072459|ref|NC_017646.1_cluster018,11
ncbi_tid|1072459|ref|NC_017646.1_cluster019,12
ncbi_tid|1072459|ref|NC_017646.1_cluster020,9
ncbi_tid|1072459|ref|NC_017646.1_cluster021,10
ncbi_tid|1072459|ref|NC_017646.1_cluster022,17
ncbi_tid|1110693|ref|NC_020518.1_cluster001,1
ncbi_tid|1110693|ref|NC_020518.1_cluster002,2
ncbi_tid|1110693|ref|NC_020518.1_cluster003,3
ncbi_tid|1110693|ref|NC_020518.1_cluster004,4
ncbi_tid|1110693|ref|NC_020518.1_cluster005,5
ncbi_tid|1110693|ref|NC_020518.1_cluster006,6
ncbi_tid|1110693|ref|NC_020518.1_cluster007,4
ncbi_tid|1110693|ref|NC_020518.1_cluster008,8
ncbi_tid|1110693|ref|NC_020518.1_cluster009,10
ncbi_tid|1110693|ref|NC_020518.1_cluster010,6
ncbi_tid|1110693|ref|NC_020518.1_cluster011,1
ncbi_tid|1110693|ref|NC_020518.1_cluster012,7
ncbi_tid|1110693|ref|NC_020518.1_cluster013,12
ncbi_tid|1110693|ref|NC_020518.1_cluster014,9
ncbi_tid|1110693|ref|NC_020518.1_cluster015,10
ncbi_tid|1110693|ref|NC_020518.1_cluster016,17
ncbi_tid|1133852|ref|NC_018658.1_cluster001,9
ncbi_tid|1133852|ref|NC_018658.1_cluster002,11
ncbi_tid|1133852|ref|NC_018658.1_cluster003,7
ncbi_tid|1133852|ref|NC_018658.1_cluster004,8
ncbi_tid|1133852|ref|NC_018658.1_cluster005,4
ncbi_tid|1133852|ref|NC_018658.1_cluster006,1
ncbi_tid|1133852|ref|NC_018658.1_cluster007,6
ncbi_tid|1133852|ref|NC_018658.1_cluster008,10
ncbi_tid|1133852|ref|NC_018658.1_cluster009,9
ncbi_tid|1133852|ref|NC_018658.1_cluster010,17
ncbi_tid|1133852|ref|NC_018658.1_cluster011,8
ncbi_tid|1133852|ref|NC_018658.1_cluster012,7
ncbi_tid|1133852|ref|NC_018658.1_cluster013,4
ncbi_tid|1133852|ref|NC_018658.1_cluster014,6
ncbi_tid|1133852|ref|NC_018658.1_cluster015,18
ncbi_tid|1133852|ref|NC_018658.1_cluster016,5
ncbi_tid|1133852|ref|NC_018658.1_cluster017,3
ncbi_tid|1133852|ref|NC_018658.1_cluster018,2
ncbi_tid|1133852|ref|NC_018658.1_cluster019,1
ncbi_tid|1133852|ref|NC_018658.1_cluster020,13
ncbi_tid|1133852|ref|NC_018658.1_cluster021,17
ncbi_tid|1133852|ref|NC_018658.1_cluster022,15
ncbi_tid|1133852|ref|NC_018658.1_cluster023,13
ncbi_tid|1133852|ref|NC_018658.1_cluster024,10
ncbi_tid|1133853|ref|NC_018661.1_cluster001,9
ncbi_tid|1133853|ref|NC_018661.1_cluster002,11
ncbi_tid|1133853|ref|NC_018661.1_cluster003,7
ncbi_tid|1133853|ref|NC_018661.1_cluster004,8
ncbi_tid|1133853|ref|NC_018661.1_cluster005,4
ncbi_tid|1133853|ref|NC_018661.1_cluster006,1
ncbi_tid|1133853|ref|NC_018661.1_cluster007,6
ncbi_tid|1133853|ref|NC_018661.1_cluster008,10
ncbi_tid|1133853|ref|NC_018661.1_cluster009,9
ncbi_tid|1133853|ref|NC_018661.1_cluster010,17
ncbi_tid|1133853|ref|NC_018661.1_cluster011,8
ncbi_tid|1133853|ref|NC_018661.1_cluster012,7
ncbi_tid|1133853|ref|NC_018661.1_cluster013,4
ncbi_tid|1133853|ref|NC_018661.1_cluster014,6
ncbi_tid|1133853|ref|NC_018661.1_cluster015,18
ncbi_tid|1133853|ref|NC_018661.1_cluster016,5
ncbi_tid|1133853|ref|NC_018661.1_cluster017,3
ncbi_tid|1133853|ref|NC_018661.1_cluster018,2
ncbi_tid|1133853|ref|NC_018661.1_cluster019,1
ncbi_tid|1133853|ref|NC_018661.1_cluster020,13
ncbi_tid|1133853|ref|NC_018661.1_cluster021,17
ncbi_tid|1133853|ref|NC_018661.1_cluster022,15
ncbi_tid|1133853|ref|NC_018661.1_cluster023,13
ncbi_tid|1133853|ref|NC_018661.1_cluster024,10
ncbi_tid|1134782|ref|NC_018650.1_cluster001,9
ncbi_tid|1134782|ref|NC_018650.1_cluster002,11
ncbi_tid|1134782|ref|NC_018650.1_cluster003,7
ncbi_tid|1134782|ref|NC_018650.1_cluster004,8
ncbi_tid|1134782|ref|NC_018650.1_cluster005,4
ncbi_tid|1134782|ref|NC_018650.1_cluster006,1
ncbi_tid|1134782|ref|NC_018650.1_cluster007,6
ncbi_tid|1134782|ref|NC_018650.1_cluster008,10
ncbi_tid|1134782|ref|NC_018650.1_cluster009,9
ncbi_tid|1134782|ref|NC_018650.1_cluster010,17
ncbi_tid|1134782|ref|NC_018650.1_cluster011,8
ncbi_tid|1134782|ref|NC_018650.1_cluster012,7
ncbi_tid|1134782|ref|NC_018650.1_cluster013,4
ncbi_tid|1134782|ref|NC_018650.1_cluster014,6
ncbi_tid|1134782|ref|NC_018650.1_cluster015,18
ncbi_tid|1134782|ref|NC_018650.1_cluster016,5
ncbi_tid|1134782|ref|NC_018650.1_cluster017,3
ncbi_tid|1134782|ref|NC_018650.1_cluster018,2
ncbi_tid|1134782|ref|NC_018650.1_cluster019,1
ncbi_tid|1134782|ref|NC_018650.1_cluster020,13
ncbi_tid|1134782|ref|NC_018650.1_cluster021,17
ncbi_tid|1134782|ref|NC_018650.1_cluster022,15
ncbi_tid|1134782|ref|NC_018650.1_cluster023,13
ncbi_tid|1134782|ref|NC_018650.1_cluster024,10
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster001,1
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster002,2
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster003,3
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster004,4
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster005,5
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster006,6
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster007,4
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster008,7
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster009,8
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster010,9
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster011,10
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster012,6
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster013,1
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster014,4
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster015,7
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster016,12
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster017,9
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster018,10
ncbi_tid|1245474|ref|NZ_CP009644.1_cluster019,17
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster001,8
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster002,1
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster003,2
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster004,3
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster005,4
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster006,5
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster007,15
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster008,6
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster009,4
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster010,7
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster011,8
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster012,9
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster013,10
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster014,6
ncbi_tid|1248823|ref|NZ_CP007136.1_cluster015,4
